month,revenue
2016-09-01,267.36
2016-10-01,49507.66000000018
2016-12-01,10.9
2017-01-01,120312.8699999997
2017-02-01,247303.01999999527
2017-03-01,374344.3000000024
2017-04-01,359927.23000000045
2017-05-01,506071.1400000086
2017-06-01,433038.60000000487
2017-07-01,498031.4800000119
2017-08-01,573971.6800000139
2017-09-01,624401.6900000166
2017-10-01,664219.4300000158
2017-11-01,1010271.3700000357
2017-12-01,743914.1700000208
2018-01-01,950030.3600000379
2018-02-01,844178.7100000277
2018-03-01,983213.4400000323
2018-04-01,996647.7500000285
2018-05-01,996517.6800000297
2018-06-01,865124.3100000205
2018-07-01,895507.2200000224
2018-08-01,854686.3300000244
2018-09-01,145.0
2018-10-01,
